algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
IPLoM_results,Zookeeper_0.40,139902,34033,0.24326,16375,0.11705,10032,0.07171,7278,0.05202,8604,0.0615,10121,0.07234,5512,0.0394,3165,0.02262,2919,0.02086,3171,0.02267,3260,0.0233
IPLoM_results,HDFS_0.40,156720,34249,0.21854,52278,0.33358,30357,0.1937,23700,0.15123,25737,0.16422,30446,0.19427,4726,0.03016,2552,0.01628,1842,0.01175,2515,0.01605,2647,0.01689
IPLoM_results,HDFS_0.10,232768,19445,0.08354,76378,0.32813,43163,0.18543,33815,0.14527,37188,0.15976,43252,0.18582,5214,0.0224,2450,0.01053,1932,0.0083,2417,0.01038,2545,0.01093
IPLoM_results,BGL_0.50,92956,67474,0.72587,18735,0.20155,11410,0.12275,11049,0.11886,9624,0.10353,11499,0.1237,11617,0.12497,7749,0.08336,7976,0.0858,7013,0.07544,7844,0.08438
IPLoM_results,Proxifier_0.10,187898,26284,0.13988,28076,0.14942,16432,0.08745,10946,0.05826,14336,0.0763,16521,0.08793,13990,0.07446,7966,0.0424,6784,0.0361,7201,0.03832,8061,0.0429
IPLoM_results,Proxifier_0.90,20883,9437,0.4519,3419,0.16372,2090,0.10008,1729,0.08279,2002,0.09587,2179,0.10434,1950,0.09338,1249,0.05981,1093,0.05234,1284,0.06149,1344,0.06436
IPLoM_results,Zookeeper_0.70,70315,29991,0.42652,8860,0.126,5843,0.0831,4570,0.06499,4847,0.06893,5932,0.08436,3604,0.05126,2218,0.03154,2049,0.02914,2255,0.03207,2313,0.03289
IPLoM_results,Zookeeper_0.50,117813,30400,0.25804,14440,0.12257,8944,0.07592,6624,0.05622,7597,0.06448,9033,0.07667,5229,0.04438,3024,0.02567,2876,0.02441,3037,0.02578,3119,0.02647
IPLoM_results,Proxifier_0.80,41155,18874,0.45861,5818,0.14137,3502,0.08509,2593,0.06301,3185,0.07739,3591,0.08726,3273,0.07953,2016,0.04899,1573,0.03822,1974,0.04797,2111,0.05129
IPLoM_results,HPC_0.80,34047,14366,0.42195,6554,0.1925,3706,0.10885,3013,0.0885,3002,0.08817,3795,0.11146,876,0.02573,631,0.01853,610,0.01792,723,0.02124,726,0.02132
IPLoM_results,BGL_0.10,133103,71434,0.53668,28872,0.21691,17448,0.13109,15965,0.11994,13978,0.10502,17537,0.13176,13846,0.10402,9064,0.0681,9374,0.07043,8250,0.06198,9159,0.06881
IPLoM_results,HPC_0.90,20047,13886,0.69267,3890,0.19404,2205,0.10999,1933,0.09642,1944,0.09697,2294,0.11443,1318,0.06575,867,0.04325,837,0.04175,923,0.04604,962,0.04799
IPLoM_results,Proxifier_0.50,103718,48640,0.46896,15312,0.14763,9030,0.08706,5982,0.05768,7621,0.07348,9119,0.08792,8793,0.08478,5414,0.0522,3864,0.03725,4914,0.04738,5509,0.05312
IPLoM_results,BGL_0.20,121603,65699,0.54027,26059,0.2143,16038,0.13189,14539,0.11956,12750,0.10485,16127,0.13262,12862,0.10577,8645,0.07109,8973,0.07379,7788,0.06404,8740,0.07187
IPLoM_results,Zookeeper_0.20,190702,6746,0.03537,23524,0.12335,14227,0.0746,9716,0.05095,11587,0.06076,14316,0.07507,3469,0.01819,1468,0.0077,1290,0.00676,1532,0.00803,1563,0.0082
